sheet,col_letter,col_idx,header,n_formula,n_formula_empty_value,n_literal_numeric,n_label_string,n_blank,literal_pct_of_filled,classification,literal_samples
Approved,A,1,Code,0,0,0,295,24,0,empty,
Approved,B,2,Categories,15,0,0,280,24,0.0,all_formula,
Approved,C,3,2006,3,3,0,0,316,0.0,NO_DATA,
Approved,D,4,2007,3,3,0,0,316,0.0,NO_DATA,
Approved,E,5,2008,3,3,0,0,316,0.0,NO_DATA,
Approved,F,6,2009,3,3,0,0,316,0.0,NO_DATA,
Approved,G,7,2010,3,3,0,0,316,0.0,NO_DATA,
Approved,H,8,2011,3,3,0,0,316,0.0,NO_DATA,
Approved,I,9,2012,3,3,0,0,316,0.0,NO_DATA,
Approved,J,10,2013,3,3,0,0,316,0.0,NO_DATA,
Approved,K,11,2014,3,3,0,0,316,0.0,NO_DATA,
Approved,L,12,2015,3,3,0,0,316,0.0,NO_DATA,
Approved,M,13,2016,3,3,0,0,316,0.0,NO_DATA,
Approved,N,14,2017,3,3,0,0,316,0.0,NO_DATA,
Approved,O,15,2018,104,7,0,0,215,0.0,all_formula,
Approved,P,16,2019,112,10,0,0,207,0.0,all_formula,
Approved,Q,17,2020,114,8,0,0,205,0.0,all_formula,
Approved,R,18,2021,114,7,0,0,205,0.0,all_formula,
Approved,S,19,2022,114,6,0,0,205,0.0,all_formula,
Approved,T,20,2023,100,7,0,0,219,0.0,all_formula,
Approved,U,21,2024,3,3,0,0,316,0.0,NO_DATA,
Approved,V,22,2025,3,3,0,0,316,0.0,NO_DATA,
Approved,W,23,2026,3,3,0,0,316,0.0,NO_DATA,
Approved,X,24,2027,3,3,0,0,316,0.0,NO_DATA,
Approved,Y,25,2028,3,3,0,0,316,0.0,NO_DATA,
Approved,Z,26,2029,3,3,0,0,316,0.0,NO_DATA,
Approved,AA,27,2030,3,3,0,0,316,0.0,NO_DATA,
Approved,AB,28,avg,295,186,0,0,24,0.0,all_formula,
Approved,AC,29,Country,319,24,0,0,0,0.0,all_formula,
Approved,AD,30,Country,319,24,0,0,0,0.0,all_formula,
Approved,AE,31,Formulas,0,0,0,98,221,0,empty,
Approved,AF,32,Coverage,0,0,0,295,24,0,empty,
Approved,AG,33,Fiscal year,25,0,0,270,24,0.0,all_formula,
Approved,AH,34,Region,25,0,0,270,24,0.0,all_formula,
Approved,AI,35,Income,25,0,0,270,24,0.0,all_formula,
Approved,AJ,36,Basis,25,0,0,270,24,0.0,all_formula,
Approved,AK,37,Source,25,0,0,270,24,0.0,all_formula,
Approved,AL,38,Rigidity,25,0,0,270,24,0.0,all_formula,
Approved,AM,39,,0,0,0,0,319,0,empty,
Approved,AN,40,,0,0,0,0,319,0,empty,
Approved,AO,41,,0,0,0,0,319,0,empty,
Approved,AP,42,,0,0,0,0,319,0,empty,
Approved,AQ,43,,0,0,0,0,319,0,empty,
Approved,AR,44,,0,0,0,0,319,0,empty,
Approved,AS,45,,0,0,0,0,319,0,empty,
Approved,AT,46,,0,0,0,0,319,0,empty,
Approved,AU,47,,0,0,0,0,319,0,empty,
Approved,AV,48,,0,0,0,0,319,0,empty,
Approved,AW,49,,0,0,0,0,319,0,empty,
Executed,A,1,Code,0,0,0,295,24,0,empty,
Executed,B,2,Categories,15,0,0,280,24,0.0,all_formula,
Executed,C,3,2006,3,3,0,0,316,0.0,NO_DATA,
Executed,D,4,2007,3,3,0,0,316,0.0,NO_DATA,
Executed,E,5,2008,3,3,0,0,316,0.0,NO_DATA,
Executed,F,6,2009,3,3,0,0,316,0.0,NO_DATA,
Executed,G,7,2010,3,3,0,0,316,0.0,NO_DATA,
Executed,H,8,2011,3,3,0,0,316,0.0,NO_DATA,
Executed,I,9,2012,3,3,0,0,316,0.0,NO_DATA,
Executed,J,10,2013,3,3,0,0,316,0.0,NO_DATA,
Executed,K,11,2014,3,3,0,0,316,0.0,NO_DATA,
Executed,L,12,2015,3,3,0,0,316,0.0,NO_DATA,
Executed,M,13,2016,17,3,0,0,302,0.0,all_formula,
Executed,N,14,2017,17,4,0,0,302,0.0,all_formula,
Executed,O,15,2018,104,10,0,0,215,0.0,all_formula,
Executed,P,16,2019,112,13,0,0,207,0.0,all_formula,
Executed,Q,17,2020,114,9,0,0,205,0.0,all_formula,
Executed,R,18,2021,114,6,0,0,205,0.0,all_formula,
Executed,S,19,2022,114,5,0,0,205,0.0,all_formula,
Executed,T,20,2023,100,6,0,0,219,0.0,all_formula,
Executed,U,21,2024,3,3,0,0,316,0.0,NO_DATA,
Executed,V,22,2025,3,3,0,0,316,0.0,NO_DATA,
Executed,W,23,2026,3,3,0,0,316,0.0,NO_DATA,
Executed,X,24,2027,3,3,0,0,316,0.0,NO_DATA,
Executed,Y,25,2028,3,3,0,0,316,0.0,NO_DATA,
Executed,Z,26,2029,3,3,0,0,316,0.0,NO_DATA,
Executed,AA,27,2030,3,3,0,0,316,0.0,NO_DATA,
Executed,AB,28,avg,295,186,0,0,24,0.0,all_formula,
Executed,AC,29,Country,319,24,0,0,0,0.0,all_formula,
Executed,AD,30,Country,319,24,0,0,0,0.0,all_formula,
Executed,AE,31,Formulas,0,0,0,98,221,0,empty,
Executed,AF,32,Coverage,0,0,0,295,24,0,empty,
Executed,AG,33,Fiscal year,25,0,0,270,24,0.0,all_formula,
Executed,AH,34,Region,25,0,0,270,24,0.0,all_formula,
Executed,AI,35,Income,25,0,0,270,24,0.0,all_formula,
Executed,AJ,36,Basis,25,0,0,270,24,0.0,all_formula,
Executed,AK,37,Source,25,0,0,270,24,0.0,all_formula,
Executed,AL,38,Rigidity,25,0,0,270,24,0.0,all_formula,
Executed,AM,39,,0,0,0,0,319,0,empty,
Executed,AN,40,,0,0,0,0,319,0,empty,
Executed,AO,41,,0,0,0,0,319,0,empty,
Executed,AP,42,,0,0,0,0,319,0,empty,
Executed,AQ,43,,0,0,0,0,319,0,empty,
Executed,AR,44,,0,0,0,0,319,0,empty,
Executed,AS,45,,0,0,0,0,319,0,empty,
Executed,AT,46,,0,0,0,0,319,0,empty,
Executed,AU,47,,0,0,0,0,319,0,empty,
Executed,AV,48,,0,0,0,0,319,0,empty,
Executed,AW,49,,0,0,0,0,319,0,empty,
